film,release_date,gross_domestic,gross_international,gross_worldwide,budget,mcu,phase,distributor,MPAA_Rating,length,minutes,franchise,character_family,domestic_percentage,gross_to_budget,rotten_tomatoes_critic_score,lead_gender,year,inflation_adjusted_worldwide_gross,inflation_adjusted_budget,2.5x_prod,break_even
Fantastic Four,2005-7-8,154696080,178839854,333535934,100000000,FALSE,NA,Twentieth Century Fox,PG-13,0.073611111,106,Marvel,Fantastic Four,46,3.34,28,Male,2005,333535934,100000000,250000000,Success
X-Men: The Last Stand,2006-5-26,234362462,226072829,460435291,210000000,FALSE,NA,Twentieth Century Fox,PG-13,0.072222222,104,Marvel,X-Men,51,2.19,57,Male,2006,460435291,210000000,525000000,Flop
Superman Returns,2006-6-28,200081192,191000000,391081192,270000000,FALSE,NA,Warner Bros.,PG-13,0.106944444,154,DC,Superman,51,1.45,74,Male,2006,591086599,408082478,675000000,Flop
Ghost Rider,2007-2-16,115802596,112935797,228738393,110000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,0.076388889,110,Marvel,Ghost Rider,51,2.08,27,Male,2007,228738393,110000000,275000000,Flop
Spider-Man 3,2007-5-1,336530303,558453070,894983373,258000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,0.096527778,139,Marvel,Spider-Man,38,3.47,63,Male,2007,894983373,258000000,645000000,Success
Fantastic Four: Rise of the Silver Surfer,2007-6-15,131921738,169991393,301913131,130000000,FALSE,NA,Twentieth Century Fox,PG,0.063888889,92,Marvel,Fantastic Four,44,2.32,38,Male,2007,301913131,130000000,325000000,Flop
Iron Man,2008-5-2,319034126,266762121,585796247,140000000,TRUE,1,Paramount Pictures,PG-13,0.0875,126,Marvel,Iron Man,54,4.18,94,Male,2008,585796247,140000000,350000000,Success
The Incredible Hulk,2008-6-13,134806913,129964083,264770996,150000000,TRUE,1,Universal Pictures,PG-13,0.077777778,112,Marvel,Hulk,51,1.77,67,Male,2008,264770996,150000000,375000000,Flop
The Dark Knight,2008-7-18,534987076,472349861,1007336937,185000000,FALSE,NA,Warner Bros.,PG-13,0.105555556,152,DC,Batman,53,5.45,94,Male,2008,1425605587,261816105,462500000,Success
Punisher: War Zone,2008-12-5,8050977,2110516,10161493,35000000,FALSE,NA,Lions Gate Films,R,0.071527778,103,Marvel,Punisher,79,0.29,29,Male,2008,10161493,35000000,87500000,Flop
Watchmen,2009-3-6,107509799,77873014,185382813,130000000,FALSE,NA,Warner Bros.,R,0.1125,162,DC,Watchmen,58,1.43,65,Male,2009,263294614,184635778,325000000,Flop
X-Men Origins: Wolverine,2009-5-1,179883157,193179707,373062864,150000000,FALSE,NA,Twentieth Century Fox,PG-13,0.074305556,107,Marvel,X-Men,48,2.49,38,Male,2009,373062864,150000000,375000000,Flop
Iron Man 2,2010-5-7,312433331,311500000,623933331,200000000,TRUE,1,Paramount Pictures,PG-13,0.086111111,124,Marvel,Iron Man,50,3.12,72,Male,2010,623933331,200000000,500000000,Success
Jonah Hex,2010-6-18,10547117,356195,10903312,47000000,FALSE,NA,Warner Bros.,PG-13,0.05625,81,DC,Jonah Hex,97,0.23,12,Male,2010,15235795,65675672,117500000,Flop
Thor,2011-5-6,181030624,268295994,449326618,150000000,TRUE,1,Paramount Pictures,PG-13,0.079861111,115,Marvel,Thor,40,3,77,Male,2011,449326618,150000000,375000000,Success
X-Men: First Class,2011-6-3,146408305,206208385,352616690,160000000,FALSE,NA,Twentieth Century Fox,PG-13,0.090972222,131,Marvel,X-Men,42,2.2,86,Male,2011,352616690,160000000,400000000,Flop
Green Lantern,2011-6-17,116601172,120600000,237201172,200000000,FALSE,NA,Warner Bros.,PG-13,0.079166667,114,DC,Green Lantern,49,1.19,25,Male,2011,321311879,270919301,500000000,Flop
Captain America: The First Avengers,2011-7-22,176654505,193915269,370569774,140000000,TRUE,1,Paramount Pictures,PG-13,0.086111111,124,Marvel,Captain America,48,2.65,80,Male,2011,370569774,140000000,350000000,Success
Ghost Rider: Spirit of Vengeance,2012-2-17,51774002,80789928,132563930,57000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,0.066666667,96,Marvel,Ghost Rider,39,2.33,19,Male,2012,132563930,57000000,142500000,Flop
The Avengers,2012-5-4,623357910,895455078,1518812988,220000000,TRUE,1,Walt Disney Studios Motion Pictures,PG-13,0.099305556,143,Marvel,Avengers,41,6.9,91,Male,2012,1518812988,220000000,550000000,Success
The Amazing Spider-Man,2012-7-3,262030663,495900000,757930663,230000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,0.094444444,136,Marvel,Spider-Man,35,3.3,71,Male,2012,757930663,230000000,575000000,Success
The Dark Knight Rises,2012-7-20,448149584,636918053,1085067637,250000000,FALSE,NA,Warner Bros.,PG-13,0.113888889,164,DC,Batman,41,4.34,87,Male,2012,1440028167,331783042,625000000,Success
Iron Man 3,2013-5-3,409013994,806563211,1215577205,200000000,TRUE,2,Walt Disney Studios Motion Pictures,PG-13,0.090277778,130,Marvel,Iron Man,34,6.08,79,Male,2013,1215577205,200000000,500000000,Success
Man of Steel,2013-6-14,291045518,379100000,670145518,225000000,FALSE,NA,Warner Bros.,PG-13,0.099305556,143,DC,Superman,43,2.98,56,Male,2013,876532581,294294038,562500000,Success
The Wolverine,2013-7-26,132556852,282271394,414828246,120000000,FALSE,NA,Twentieth Century Fox,PG-13,0.0875,126,Marvel,X-Men,32,3.46,71,Male,2013,414828246,120000000,300000000,Success
Thor: The Dark World,2013-11-8,206362140,438421000,644783140,170000000,TRUE,2,Walt Disney Studios Motion Pictures,PG-13,0.077777778,112,Marvel,Thor,32,3.79,67,Male,2013,644783140,170000000,425000000,Success
Captain America: The Winter Soldier,2014-4-4,259766572,454654931,714421503,170000000,TRUE,2,Walt Disney Studios Motion Pictures,PG-13,0.094444444,136,Marvel,Captain America,36,4.2,90,Male,2014,714421503,170000000,425000000,Success
The Amazing Spider-Man 2,2014-5-2,202853933,506128390,708982323,200000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,0.098611111,142,Marvel,Spider-Man,29,3.54,51,Male,2014,708982323,200000000,500000000,Success
X-Men: Days of Future Past,2014-5-23,233921534,512124166,746045700,200000000,FALSE,NA,Twentieth Century Fox,PG-13,0.091666667,132,Marvel,X-Men,31,3.73,90,Male,2014,746045700,200000000,500000000,Success
Guardians of the Galaxy,2014-8-1,333718600,439631547,773350147,170000000,TRUE,2,Walt Disney Studios Motion Pictures,PG-13,0.084027778,121,Marvel,Guardians of the Galaxy,43,4.55,92,Male,2014,773350147,170000000,425000000,Success
Avengers: Age of Ultron,2015-5-1,459005868,946012180,1405018048,250000000,TRUE,2,Walt Disney Studios Motion Pictures,PG-13,0.097916667,141,Marvel,Avengers,33,5.62,76,Male,2015,1405018048,250000000,625000000,Success
Ant-Man,2015-7-17,180202163,339109802,519311965,130000000,TRUE,2,Walt Disney Studios Motion Pictures,PG-13,0.08125,117,Marvel,Ant-Man,35,3.99,83,Male,2015,519311965,130000000,325000000,Success
Fantastic Four,2015-8-7,56117548,111765333,167882881,120000000,FALSE,NA,Twentieth Century Fox,PG-13,0.069444444,100,Marvel,Fantastic Four,33,1.4,9,Male,2015,167882881,120000000,300000000,Flop
Deadpool,2016-2-12,363070709,419541446,782612155,58000000,FALSE,NA,Twentieth Century Fox,R,0.075,108,Marvel,X-Men,46,13.49,85,Male,2016,782612155,58000000,145000000,Success
Batman v Superman: Dawn of Justice,2016-3-23,330360194,544002609,874362803,250000000,FALSE,NA,Warner Bros.,PG-13,0.104861111,151,DC,Justice League,38,3.5,29,Male,2016,1110049834,317388225,625000000,Success
Captain America: Civil War,2016-5-6,408084349,746962067,1155046416,250000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,0.102083333,147,Marvel,Captain America,35,4.62,91,Male,2016,1155046416,250000000,625000000,Success
X-Men: Apocalypse,2016-5-27,155442489,388491616,543934105,178000000,FALSE,NA,Twentieth Century Fox,PG-13,0.1,144,Marvel,X-Men,29,3.06,47,Male,2016,543934105,178000000,445000000,Success
Suicide Squad,2016-8-5,325100054,424100000,749200054,175000000,FALSE,NA,Warner Bros.,PG-13,0.085416667,123,DC,Suicide Squad,43,4.28,26,Male,2016,951149103,222171758,437500000,Success
Doctor Strange,2016-11-4,232641920,445154156,677796076,165000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,0.079861111,115,Marvel,Doctor Strange,34,4.11,89,Male,2016,677796076,165000000,412500000,Success
The Lego Batman Movie,2017-2-10,175936671,136400000,312336671,80000000,FALSE,NA,Warner Bros.,PG,0.072222222,104,DC,Batman,56,3.9,89,Male,2017,388256683,99445686,200000000,Success
Logan,2017-3-3,226277068,392902882,619179950,97000000,FALSE,NA,Twentieth Century Fox,R,0.095138889,137,Marvel,X-Men,37,6.38,94,Male,2017,619179950,97000000,242500000,Success
Guardians of the Galaxy Vol. 2,2017-5-5,389813101,473942950,863756051,200000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,0.094444444,136,Marvel,Guardians of the Galaxy,45,4.32,85,Male,2017,863756051,200000000,500000000,Success
Wonder Woman,2017-6-2,412845172,411125510,823970682,149000000,FALSE,NA,Warner Bros.,PG-13,0.097916667,141,DC,Wonder Woman,50,5.53,93,Female,2017,1024254126,185217591,372500000,Success
Spider-Man: Homecoming,2017-7-7,334201140,545965784,880166924,175000000,TRUE,3,Sony Pictures Entertainment ,PG-13,0.092361111,133,Marvel,Spider-Man,38,5.03,92,Male,2017,880166924,175000000,437500000,Success
Thor: Ragnarok,2017-11-3,315058289,540243517,855301806,180000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,0.090277778,130,Marvel,Thor,37,4.75,93,Male,2017,855301806,180000000,450000000,Success
